Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
12/21/2016,N (Jul 17),19.25,19.35,19.13,19.27,19.2750,0.02,1501,0,5825
12/22/2016,N (Jul 17),19.34,19.47,19.24,19.45,19.4500,0.18,1377,0,6365
12/23/2016,N (Jul 17),19.45,19.60,19.40,19.46,19.4500,0.00,718,0,6443
12/27/2016,N (Jul 17),19.40,19.45,19.25,19.25,19.2750,-0.18,713,0,6668
12/28/2016,N (Jul 17),19.35,19.52,19.25,19.45,19.4750,0.20,1699,0,7137
12/29/2016,N (Jul 17),19.45,19.67,19.40,19.55,19.5750,0.10,1582,0,7749
12/30/2016,N (Jul 17),19.60,19.83,19.40,19.68,19.6500,0.08,1927,0,8803
01/03/2017,N (Jul 17),19.60,19.65,19.15,19.20,19.1750,-0.48,1539,0,9400
01/04/2017,N (Jul 17),19.15,19.25,18.71,18.86,18.8750,-0.30,1771,0,9890
01/05/2017,N (Jul 17),18.83,19.05,18.75,18.80,18.7750,-0.10,1152,0,10276
01/06/2017,N (Jul 17),18.79,18.80,18.48,18.66,18.6750,-0.10,1219,0,10346
01/09/2017,N (Jul 17),18.65,18.65,18.40,18.60,18.5750,-0.10,1265,0,10255
01/10/2017,N (Jul 17),18.60,18.75,18.45,18.57,18.5750,0.00,1791,0,10766
01/11/2017,N (Jul 17),18.50,18.80,18.43,18.45,18.4250,-0.15,1907,0,11461
01/12/2017,N (Jul 17),18.45,18.84,18.40,18.60,18.6250,0.20,1476,0,11680
01/13/2017,N (Jul 17),18.60,18.79,18.50,18.75,18.7750,0.15,1815,0,12248
01/17/2017,N (Jul 17),18.75,19.02,18.70,18.85,18.8750,0.10,2263,0,13041
01/18/2017,N (Jul 17),18.91,18.95,18.63,18.82,18.8250,-0.05,7792,0,15609
01/19/2017,N (Jul 17),18.81,18.95,18.65,18.65,18.6750,-0.15,3532,0,16128
01/20/2017,N (Jul 17),18.65,18.69,18.30,18.50,18.5250,-0.15,4678,0,16995
01/23/2017,N (Jul 17),18.55,18.64,18.30,18.30,18.3250,-0.20,2109,0,17336
01/24/2017,N (Jul 17),18.30,18.34,17.75,17.85,17.8250,-0.50,4502,0,18309
01/25/2017,N (Jul 17),17.80,17.85,17.50,17.55,17.5750,-0.25,4527,0,19003
01/26/2017,N (Jul 17),17.55,17.70,17.50,17.61,17.6250,0.05,2341,0,19242
